dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,audiotovector,global_threshold,cosine,15,35,0,0.4246547222137451,0.125,0.0,0.6363988095238096,0.09138392857142859
esc50,audiotovector,global_threshold,cosine,10,40,0,0.4246547222137451,0.2125,0.0,0.64171875,0.15507812499999996
esc50,audiotovector,global_threshold,euclidean,40,10,0,-212821.234375,0.09375,0.0,0.5786328125,0.0487890625
esc50,audiotovector,global_threshold,euclidean,30,20,0,-212821.234375,0.1375,0.0,0.4341666666666667,0.0571875
esc50,audiotovector,global_threshold,euclidean,20,30,0,-212821.234375,0.16875,0.0,0.4221875,0.07055989583333333
esc50,audiotovector,global_threshold,euclidean,15,35,0,-207583.03125,0.15,0.0,0.44029761904761905,0.05852678571428571
esc50,audiotovector,global_threshold,euclidean,10,40,0,-190649.375,0.25,0.003125,0.4891796875,0.11345703124999999
esc50,audiotovector,global_threshold,mahalanobis,40,10,0,-234.61412048339844,0.096875,0.0,0.5041796875000001,0.052617187499999996
esc50,audiotovector,global_threshold,mahalanobis,30,20,0,-218.95269775390625,0.15,0.0,0.47257812500000007,0.07048177083333332
esc50,audiotovector,global_threshold,mahalanobis,20,30,0,-200.5231475830078,0.2625,0.0,0.45046875,0.1166015625
esc50,audiotovector,global_threshold,mahalanobis,15,35,0,-182.07333374023438,0.23333333333333334,0.0,0.5192261904761905,0.1343452380952381
